Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
906,5,0,0,0.5,0,0,0.5,5,0,0.019765254173322,-0.526575108599021,-0.013816381420471,-0.008713356021453,-0.481979217933168,0,0,0,0,0.019765254173322,-0.026575108599021,-0.013816381420471,-0.008713356021453,0.018020782066832,0,0,0,0
907,5,0,0,0.5,0,0,0.5,5,0,-0.013115187925435,-0.504793612008446,-0.019140319467774,-0.005904653025514,-0.514132853255374,0,0,0,0,-0.013115187925435,-0.004793612008446,-0.019140319467774,-0.005904653025514,-0.014132853255374,0,0,0,0
908,5,0,0,0.5,0,0,0.5,5,0,-0.034734937697117,-0.494194509017124,-0.024750926549255,0.011301080743354,-0.513564099975645,0,0,0,0,-0.034734937697117,0.005805490982876,-0.024750926549255,0.011301080743354,-0.013564099975645,0,0,0,0
909,5,0,0,0.5,0,0,0.5,5,0,-0.023011487610742,-0.533766065309327,-0.027193785035367,-0.033630648963341,-0.496877074176641,0,0,0,0,-0.023011487610742,-0.033766065309327,-0.027193785035367,-0.033630648963341,0.003122925823359,0,0,0,0
910,5,0,0,0.5,0,0,0.5,5,0,0.024019204136912,-0.476505174615288,0.048763412847754,0.00191092243936,-0.46801345423403,0,0,0,0,0.024019204136912,0.023494825384712,0.048763412847754,0.00191092243936,0.031986545765971,0,0,0,0
911,5,0,0,0.5,0,0,0.5,5,0,0.017567447276336,-0.487837568844012,-0.005388509341809,0.001524636578196,-0.503502581161645,0,0,0,0,0.017567447276336,0.012162431155988,-0.005388509341809,0.001524636578196,-0.003502581161645,0,0,0,0
912,5,0,0,0.5,0,0,0.5,5,0,-0.031867717960336,-0.484417807731417,-0.06000094034737,0.028213230628163,-0.49215051338614,0,0,0,0,-0.031867717960336,0.015582192268584,-0.06000094034737,0.028213230628163,0.00784948661386,0,0,0,0
913,5,0,0,0.5,0,0,0.5,5,0,-0.01215260557253,-0.470719804162089,-0.001792873883564,0.035830886168062,-0.541918184312361,0,0,0,0,-0.01215260557253,0.029280195837912,-0.001792873883564,0.035830886168062,-0.041918184312361,0,0,0,0
914,5,0,0,0.5,0,0,0.5,5,0,0.065233733865786,-0.52421138015803,0.005417554400827,0.005021160710603,-0.475956328434557,0,0,0,0,0.065233733865786,-0.02421138015803,0.005417554400827,0.005021160710603,0.024043671565443,0,0,0,0
915,5,0,0,0.5,0,0,0.5,6,0,0.056861358272719,-0.525063160971291,0.011944043432277,-0.012935247599135,-0.47249011064587,0.087002065332896,0,0,0,0.056861358272719,-0.025063160971291,0.011944043432277,-0.012935247599135,0.02750988935413,0.087002065332896,0,0,0
