Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
140,3,0,0,0.2,0.8,3,0,0.055282261510992,-0.238141489617162,-0.766180224200811,0,0,0,0,0.055282261510992,-0.038141489617162,0.033819775799189,0,0,0,0
141,3,0,0,0.2,0.8,3,0,0.012479792487188,-0.208987216458219,-0.816135686695255,0,0,0,0,0.012479792487188,-0.008987216458219,-0.016135686695255,0,0,0,0
142,3,0,0,0.2,0.8,3,0,0.050074539280481,-0.226404283951796,-0.7589874855814,0,0,0,0,0.050074539280481,-0.026404283951796,0.0410125144186,0,0,0,0
143,3,0,0,0.2,0.8,3,0,-0.007177507414855,-0.197373761589796,-0.784283421873935,0,0,0,0,-0.007177507414855,0.002626238410204,0.015716578126065,0,0,0,0
144,3,0,0,0.2,0.8,3,0,0.003627713938777,-0.199490221139097,-0.806974188319906,0,0,0,0,0.003627713938777,0.000509778860903,-0.006974188319906,0,0,0,0
145,3,0,0,0.2,0.8,3,0,0.021982683726288,-0.203893559969132,-0.787348419123558,0,0,0,0,0.021982683726288,-0.003893559969132,0.012651580876443,0,0,0,0
146,3,0,0,0.2,0.8,3,0,0.022441380259643,-0.215497301931183,-0.762307574801399,0,0,0,0,0.022441380259643,-0.015497301931183,0.037692425198601,0,0,0,0
147,3,0,0,0.2,0.8,3,0,0.009618156170959,-0.213252011898088,-0.799014700708482,0,0,0,0,0.009618156170959,-0.013252011898088,0.000985299291518,0,0,0,0
148,3,0,0,0.2,0.8,3,0,0.004048170509095,-0.236110522603358,-0.787068483079672,0,0,0,0,0.004048170509095,-0.036110522603358,0.012931516920328,0,0,0,0
149,3,0,0,0.2,0.8,3,0,0.014174906753328,-0.191180263157344,-0.761372058830631,0,0,0,0,0.014174906753328,0.008819736842656,0.03862794116937,0,0,0,0
150,3,0,0,0.2,0.8,3,0,0.009259370035137,-0.200634586530918,-0.801262653913501,0,0,0,0,0.009259370035137,-0.000634586530918,-0.001262653913501,0,0,0,0
151,3,0,0,0.2,0.8,3,0,0.009760439644188,-0.176226308509153,-0.822202381126526,0,0,0,0,0.009760439644188,0.023773691490847,-0.022202381126526,0,0,0,0
152,3,0,0,0.2,0.8,4,0,-0.120785944371029,-0.196378097693952,-0.807592008743036,-0.132628838014553,0,0,0,-0.120785944371029,0.003621902306048,-0.007592008743036,-0.132628838014553,0,0,0
153,3,0,0,0.2,0.8,3,0,-0.004746094687452,-0.146825839436871,-0.808011042866181,0,0,0,0,-0.004746094687452,0.053174160563129,-0.008011042866181,0,0,0,0
154,3,0,0,0.2,0.8,3,0,2.52366410342653E-05,-0.195380436620743,-0.82422898427612,0,0,0,0,2.52366410342653E-05,0.004619563379258,-0.02422898427612,0,0,0,0
155,3,0,0,0.2,0.8,3,0,-0.004549331376205,-0.168395014831204,-0.833009876919684,0,0,0,0,-0.004549331376205,0.031604985168796,-0.033009876919684,0,0,0,0
156,3,0,0,0.2,0.8,3,0,-0.015666818779584,-0.168808445282128,-0.820664852101966,0,0,0,0,-0.015666818779584,0.031191554717872,-0.020664852101966,0,0,0,0
157,3,0,0,0.2,0.8,3,0,0.034464392030119,-0.183485394433898,-0.785950477628909,0,0,0,0,0.034464392030119,0.016514605566102,0.014049522371091,0,0,0,0
158,3,0,0,0.2,0.8,3,0,-0.00362172924532,-0.183650290249183,-0.817234240590449,0,0,0,0,-0.00362172924532,0.016349709750817,-0.017234240590449,0,0,0,0
159,3,0,0,0.2,0.8,3,0,0.004773306584523,-0.194708496752599,-0.827763524910604,0,0,0,0,0.004773306584523,0.005291503247401,-0.027763524910604,0,0,0,0
