Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
100,4,0,0,0,0,0.8,4,0,-0.030390247507325,0.002880112280252,-0.01108360299516,-0.80024924334093,0,0,0,0,-0.030390247507325,0.002880112280252,-0.01108360299516,-0.00024924334093,0,0,0,0
101,4,0,0,0,0,0.8,4,0,-0.00484993860154,0.007923421777423,-0.006119637891469,-0.799292366841229,0,0,0,0,-0.00484993860154,0.007923421777423,-0.006119637891469,0.000707633158771,0,0,0,0
102,4,0,0,0,0,0.8,4,0,0.014236384780737,-0.007839452391238,0.002248579891647,-0.763442817406102,0,0,0,0,0.014236384780737,-0.007839452391238,0.002248579891647,0.036557182593898,0,0,0,0
103,4,0,0,0,0,0.8,4,0,0.011560314431389,0.034081164900891,-0.005546884343481,-0.775611723607599,0,0,0,0,0.011560314431389,0.034081164900891,-0.005546884343481,0.024388276392402,0,0,0,0
104,4,0,0,0,0,0.8,4,0,0.002249558518663,0.010660702432055,0.000496910059564,-0.784678038682095,0,0,0,0,0.002249558518663,0.010660702432055,0.000496910059564,0.015321961317905,0,0,0,0
105,4,0,0,0,0,0.8,4,0,0.006483593792662,-0.002385658236778,-0.006571831333816,-0.774295303524635,0,0,0,0,0.006483593792662,-0.002385658236778,-0.006571831333816,0.025704696475365,0,0,0,0
106,4,0,0,0,0,0.8,4,0,-0.029237283700735,-0.026977072589027,0.0228650521255,-0.79531803009068,0,0,0,0,-0.029237283700735,-0.026977072589027,0.0228650521255,0.00468196990932,0,0,0,0
107,4,0,0,0,0,0.8,4,0,0.01719798972688,-0.001581341133935,-0.012013755666757,-0.79922851385121,0,0,0,0,0.01719798972688,-0.001581341133935,-0.012013755666757,0.00077148614879,0,0,0,0
108,4,0,0,0,0,0.8,4,0,-0.04350974551886,-0.014537651001777,-0.044885076484311,-0.790651060156121,0,0,0,0,-0.04350974551886,-0.014537651001777,-0.044885076484311,0.009348939843879,0,0,0,0
109,4,0,0,0,0,0.8,4,0,-0.01159774092343,0.001155848577093,0.023870158980242,-0.792724064014869,0,0,0,0,-0.01159774092343,0.001155848577093,0.023870158980242,0.007275935985131,0,0,0,0
110,4,0,0,0,0,0.8,4,0,-0.012554950026955,0.034712015821516,-0.008066375207462,-0.768534689870221,0,0,0,0,-0.012554950026955,0.034712015821516,-0.008066375207462,0.03146531012978,0,0,0,0
111,4,0,0,0,0,0.8,4,0,-0.012812356496676,0.027775675983434,0.005581714976597,-0.789000237334292,0,0,0,0,-0.012812356496676,0.027775675983434,0.005581714976597,0.010999762665708,0,0,0,0
112,4,0,0,0,0,0.8,4,0,0.007579894425644,0.063583694972129,-0.016877286204369,-0.777548236402216,0,0,0,0,0.007579894425644,0.063583694972129,-0.016877286204369,0.022451763597785,0,0,0,0
