Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,MA 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Fitted MA 8-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff,Diff in MA 8-lag Coeff
323,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.010246004867563538,-0.024405372547933644,0.4150726523259788,0.006788406020007409,0.3102483615842701,0.29070145796974595,0,0,0,0,-0.010246004867563538,-0.024405372547933644,0.8150726523259788,0.006788406020007409,0.6102483615842701,0.5907014579697459,0,0
324,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.009127333260522522,-0.056879138505822435,0.4375339771364477,0.030980937772883025,0.3005250633803322,0.2898876031792466,0,0,0,0,-0.009127333260522522,-0.056879138505822435,0.8375339771364477,0.030980937772883025,0.6005250633803322,0.5898876031792466,0,0
325,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.023067497865123673,0.015124339051048843,0.3718582847220472,0.021892712929978127,0.32218821614977666,0.3099700271842158,0,0,0,0,-0.023067497865123673,0.015124339051048843,0.7718582847220472,0.021892712929978127,0.6221882161497767,0.6099700271842158,0,0
326,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.056337336507316774,0.004434829686756875,0.4275715593610619,-0.0254724347365008,0.28475449268370523,0.31353730388952894,0,0,0,0,-0.056337336507316774,0.004434829686756875,0.827571559361062,-0.0254724347365008,0.5847544926837052,0.6135373038895289,0,0
327,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.022937340760462388,0.01446644564469481,0.4066467241724496,0.010528818934738967,0.32598170804228266,0.3219410172098464,0,0,0,0,0.022937340760462388,0.01446644564469481,0.8066467241724496,0.010528818934738967,0.6259817080422827,0.6219410172098464,0,0
328,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.009734775190520822,0.02211440032760509,0.39295282369958345,-0.0213377772558271,0.33043097997368776,0.2815348739704966,0,0,0,0,0.009734775190520822,0.02211440032760509,0.7929528236995835,-0.0213377772558271,0.6304309799736878,0.5815348739704966,0,0
329,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.003013849590449577,-0.07357141513465695,0.4676623981276229,0.0029151964624685653,0.2599379037367965,0.3106397283025313,0,0,0,0,0.003013849590449577,-0.07357141513465695,0.8676623981276229,0.0029151964624685653,0.5599379037367964,0.6106397283025313,0,0
330,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.03756182985060795,-0.01229054283552912,0.3806881876420114,0.039527187030368185,0.27621219669442665,0.29514571746823887,0,0,0,0,0.03756182985060795,-0.01229054283552912,0.7806881876420114,0.039527187030368185,0.5762121966944267,0.5951457174682389,0,0
331,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.0021124969107149255,0.04513817550071451,0.3722566796059377,0.045443043920375834,0.2859321859114929,0.2722213468931199,0,0,0,0,-0.0021124969107149255,0.04513817550071451,0.7722566796059378,0.045443043920375834,0.5859321859114929,0.5722213468931199,0,0
332,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.046406907048388346,-0.006148680593658343,0.3943187184440331,-0.04638427852905505,0.2806658958432615,0.2700688371305953,0,0,0,0,0.046406907048388346,-0.006148680593658343,0.7943187184440331,-0.04638427852905505,0.5806658958432616,0.5700688371305953,0,0
